Søkenavn;Art1;Art2;Art3;Gml1;Gml2;Gml3;Tar1;Tar2;Tar3;EmmaNavn;Kat;Notat;;Ant tegn;Art1,2,3;Gml;HS;Toll NÅ;
14019000;140112;140112;0;550;14019000;0;14019000;14019000;;Vegetab.mat. til flettearbeider;;;;31;#REF!;#REF!;#REF!;#REF!;
14049000;270310;270310;0;551;27030002;0;27030001;27030001;;Plantpaper plugs(torvbriketter);;;;31;#REF!;#REF!;#REF!;#REF!;
14049000;460214;460214;460214;504;504;504;46021901;46021901;46021901;Flettearbeider,Kurver;;;;21;#REF!;#REF!;#REF!;#REF!;
25309000;253012;253012;0;553;25309000;0;25309000;25309000;;Vulcaponic;;;;10;#REF!;#REF!;#REF!;#REF!;
31029000;310220;310220;0;554;31029000;0;31029000;31029000;;Blomsternæring/Liquid nutrients;;;;31;#REF!;#REF!;#REF!;#REF!;
32129000;321213;321213;0;555;32129099;0;32129099;32129099;;Pigmenter;;;;9;#REF!;#REF!;#REF!;#REF!;
35061000;350611;350611;0;556;35061009;0;35061009;35061009;;Lim;;;;3;#REF!;#REF!;#REF!;#REF!;
38239000;382435;382435;0;557;38249909;0;38249909;38249909;;Leafshine;;;;9;#REF!;#REF!;#REF!;#REF!;
39095000;390917;390917;0;558;39095009;0;39095009;39095009;;Insulation foam (polyuretaner);;;;30;#REF!;#REF!;#REF!;#REF!;
39140000;391410;391410;0;559;39140000;0;39140000;39140000;;Fix hydro nutrients bucket;;;;26;#REF!;#REF!;#REF!;#REF!;
39191000;391912;391912;0;560;39191090;0;39191090;39191090;;Selvklebende tape;;;;17;#REF!;#REF!;#REF!;#REF!;
39231000;392312;392312;0;561;39231006;0;39231006;39231006;;Plastpotter;;;;11;#REF!;#REF!;#REF!;#REF!;
39232900;392317;392317;0;562;39232990;0;39232990;39232990;;Sleeves/Plastposer;;;;18;#REF!;#REF!;#REF!;#REF!;
39233000;392319;392319;0;563;39233001;0;39233001;39233001;;Plasteflasker <2 l;;;;18;#REF!;#REF!;#REF!;#REF!;
39233000;392320;392320;0;564;39233002;0;39233002;39233002;;Flasker <3 liter;;;;16;#REF!;#REF!;#REF!;#REF!;
39239000;392328;392328;0;565;39239006;0;39239006;39239006;;Ruller med plast;;;;16;#REF!;#REF!;#REF!;#REF!;
39261000;392610;392610;0;566;39261000;0;39261000;39261000;;Kontorartikler;;;;14;#REF!;#REF!;#REF!;#REF!;
39264000;392613;392613;0;567;39264000;0;39264000;39264000;;Plastdekor;;;;10;#REF!;#REF!;#REF!;#REF!;
39269000;392624;392624;0;568;39269098;0;39269098;39269098;;Plastvarer;;;;10;#REF!;#REF!;#REF!;#REF!;
40070000;400710;400710;0;569;40070000;0;40070000;40070000;;Gummitråd;;;;9;#REF!;#REF!;#REF!;#REF!;
44012200;442011;442011;0;570;44209000;0;44209000;44209000;;Tredekor;;;;8;#REF!;#REF!;#REF!;#REF!;
44050000;440510;440510;0;571;44050000;0;44050000;44050000;;"Treull ""wood wool""";;;;18;#REF!;#REF!;#REF!;#REF!;
44151000;441510;441510;0;572;44151000;0;44151000;44151000;;Trekasser;;;;9;#REF!;#REF!;#REF!;#REF!;
44152000;441512;441512;0;573;44152000;0;44152000;44152000;;Paller;;;;6;#REF!;#REF!;#REF!;#REF!;
